,name,id
1628,E8 GALGO,SN91480
1153,E8 GARDEBORGBAKKEN,SN91460
1822,E8 HALSEBAKKAN NEDRE,SN91420
1216,E8 LAVANGSDALEN,SN90305
480,E8 SANDVIKEIDET,SN90360
1073,ED D,SN250010
867,EDGEØYA - KAPP HEUGLIN,SN99735
778,EDIRNE,SN1705000
631,EIDE PÅ NORDMØRE,SN62900
1012,EIGERØYA,SN43350
291,EIK - HOVE,SN43010
817,EIKANGER - MYR,SN52400
699,EIKELAND,SN35090
1446,EIKEMO,SN47820
939,EIMHJELLEN,SN57660
414,EINAVATN,SN11710
1047,EINUNNA KRAFTVERK,SN8970
848,EKOFISK,SN76920
638,EKSINGEDAL,SN52170
601,ELLEFSPLASS,SN770
1601,EMBLEM,SN60850
86,ENDALEN,SN99868
97,ENEBAKK - BARBØL,SN4040
1670,ENGABREEN - SKJÆRET,SN80615
325,ENONTEKIO KILPISJARVI,SN280100
1646,ENONTEKIÖ KILPISJÄRVI SAANA,SN270100
918,ERESFJORD,SN61820
1761,ESBJERG LUFTHAVN,SN608000
1818,ESKDALEMUIR,SN316200
1957,ESKISEHIR HAVALIMANI,SN1712400
1931,ESRANGE,SN205410
1428,ETIMESGUT HAVALİMANI,SN1712900
1135,ETNE II,SN47498
868,EVANGER,SN51440
1412,EVENES LUFTHAVN,SN84970
74,EVENSTAD,SN8140
392,FAGARAS,SN1523500
1280,FAGERNES,SN23420
115,FAGERNES LUFTHAMN,SN23410
440,FAGERSTRAND,SN17775
1110,FAKKEN,SN90760
270,FALSTERBO,SN261600
1008,FALSTERBO A,SN261500
672,FALUN-LUGNET,SN243530
781,FANA - STEND,SN50450
1254,FARKOLLEN,SN99600
452,FAUSKANE,SN77034
527,FEDJE,SN52535
1407,FET I EIDFJORD,SN49800
1872,FF HELMER HANSSEN,SN77005
1921,FILEFJELL - KYRKJESTØLANE,SN54710
475,FILM,SN245600
436,FILMS KYRKBY,SN245615
1225,FINNESVATNET,SN98640
1569,FINSEVATN,SN25830
1027,FINSTAD - NYHUS,SN7920
1714,FISTER - SIGMUNDSTAD,SN45870
1404,FJORDGÅRD,SN88630
1533,FJÄLLSJÖNÄS,SN213530
1351,FJÆRLAND - BREMUSEET,SN55820
1055,FLEKKEFJORD,SN42650
835,FLESBERG,SN28750
1366,FLESLAND,SN50500
1891,FLISA II,SN6020
1686,FLORØ LUFTHAMN,SN57710
1704,FLYVESTATION AALBORG,SN603000
1375,FLYVESTATION KARUP,SN606000
1528,FLYVESTATION SKRYDSTRUP,SN611000
716,FLÅM - JOASETBERGI,SN53680
1607,FOKSTUGU,SN16610
1322,FOLDSÆ,SN37500
1474,FOLGEFONNA SKISENTER,SN49085
405,FOLGEFONNA SKISENTER TOPP,SN49087
1876,FOLLDAL - FREDHEIM,SN9160
1312,FOLLINGE,SN223100
1510,FON,SN27212
19,FORSE,SN224720
129,FOSSMARK,SN51010
1465,FOULUM,SN606900
1276,FREDRIKA,SN226300
48,FREDRIKSBERG,SN242610
1409,FREDRIKSTAD,SN3030
819,FREDRIKSTAD BRANNSTASJON,SN3019
715,FREIBURG,SN1080300
675,FRESVIK,SN53130
1508,FRITZLAR (FLUGPLATZ),SN1043900
1367,FROSTA,SN69655
802,FROSTVIKEN D,SN221920
1886,FRUHOLMEN FYR,SN94500
539,FRØYSET,SN52750
1868,FRØYSTUL,SN31500
142,FURENESET,SN56420
548,FV101 PRESTEBAKKE,SN1135
1239,FV115 HEMNES,SN2830
698,FV118 SVINESUND,SN2980
1256,FV120 RØDSUND,SN17400
505,FV13 GAULARFJELL - MJELL,SN56895
811,FV155 RÅKEN,SN17640
1675,FV169 ÅSERUD,SN2560
71,FV17 HØYLANDET,SN78910
1266,FV17 RØDHAMMER,SN72200
1591,FV17 SALTSTRAUMBRUA,SN81315
1681,FV17 SJONFJELLET,SN80050
764,FV17 TORSVIKA,SN80730
51,FV17 VÅG,SN76245
947,FV17 ÅSELIBRUA,SN81310
1049,FV170 KOMPVEIEN,SN4825
1511,FV172 HOLTER,SN4827
1316,FV175 FOLMO,SN4950
1406,FV181 FINSBRÅTAN,SN11060
1635,FV21 AREBEKKEN,SN1600
